prop,source_lang,structure,ablation,mean_delta_lex,std_delta_lex
0.1000,nl,subj_pp+obj_pp,object,0.1601,0.0084
0.1000,nl,subj_pp+obj_pp,subject,0.1826,0.0300
0.1000,nl,subj_pp+obj_pp,verb,0.0822,0.0029
0.1000,nl,subj_rc,object,0.1731,0.0233
0.1000,nl,subj_rc,subject,0.2011,0.0036
0.1000,nl,subj_rc,verb,0.0888,0.0019
0.2500,en,obj_pp,object,-0.1181,0.0118
0.2500,en,obj_pp,subject,-0.2208,0.0028
0.2500,en,obj_pp,verb,-0.1132,0.0033
0.2500,en,obj_rc,object,-0.1526,0.0827
0.2500,en,obj_rc,subject,-0.1971,0.0000
0.2500,en,obj_rc,verb,-0.0998,0.0004
0.2500,en,plain,object,-0.1667,0.0055
0.2500,en,plain,subject,-0.4189,0.1277
0.2500,en,plain,verb,-0.1686,0.0070
0.2500,en,subj_pp,object,-0.1161,0.0112
0.2500,en,subj_pp,subject,-0.2200,0.0000
0.2500,en,subj_pp,verb,-0.1110,0.0018
0.2500,en,subj_pp+obj_pp,object,-0.0909,0.0107
0.2500,en,subj_pp+obj_pp,subject,-0.1651,0.0001
0.2500,en,subj_pp+obj_pp,verb,-0.0819,0.0030
0.2500,en,subj_rc,object,-0.0840,0.0155
0.2500,en,subj_rc,subject,-0.1978,0.0000
0.2500,en,subj_rc,verb,-0.0987,0.0017
0.2500,nl,obj_pp,object,0.2226,0.0817
0.2500,nl,obj_pp,subject,0.2257,0.0018
0.2500,nl,obj_pp,verb,0.1072,0.0021
0.2500,nl,obj_rc,object,0.1685,0.0521
0.2500,nl,obj_rc,subject,0.2340,0.0461
0.2500,nl,obj_rc,verb,0.0978,0.0034
0.2500,nl,plain,object,0.2343,0.0635
0.2500,nl,plain,subject,0.5145,0.0624
0.2500,nl,plain,verb,0.1619,0.0070
0.2500,nl,subj_pp,object,0.1031,0.0026
0.2500,nl,subj_pp,subject,0.2308,0.0164
0.2500,nl,subj_pp,verb,0.1050,0.0095
0.2500,nl,subj_pp+obj_pp,object,0.1127,0.0267
0.2500,nl,subj_pp+obj_pp,subject,0.1698,0.0073
0.2500,nl,subj_pp+obj_pp,verb,0.0789,0.0068
0.2500,nl,subj_rc,object,0.1677,0.0390
0.2500,nl,subj_rc,subject,0.1981,0.0002
0.2500,nl,subj_rc,verb,0.0866,0.0194
0.5000,en,obj_pp,object,-0.1206,0.0046
0.5000,en,obj_pp,subject,-0.2266,0.0206
0.5000,en,obj_pp,verb,-0.1061,0.0070
0.5000,en,obj_rc,object,-0.1058,0.0031
0.5000,en,obj_rc,subject,-0.1539,0.0446
0.5000,en,obj_rc,verb,-0.0799,0.0297
0.5000,en,plain,object,-0.1629,0.0003
0.5000,en,plain,subject,-0.4686,0.1320
0.5000,en,plain,verb,-0.1554,0.0132
0.5000,en,subj_pp,object,-0.1093,0.0011
0.5000,en,subj_pp,subject,-0.2183,0.0027
0.5000,en,subj_pp,verb,-0.1089,0.0061
0.5000,en,subj_pp+obj_pp,object,-0.0816,0.0004
0.5000,en,subj_pp+obj_pp,subject,-0.1642,0.0012
